Source Page URL,Broken Link URL,Anchor Text / Current Value,Link Type,Status Code
https://hosninsurance.ae/,https://hosninsurance.ae/old-services-page,Our Services (Outdated),Internal,404
https://hosninsurance.ae//about,https://facebook.com/company-old-page,Follow us on Facebook,External,404
https://hosninsurance.ae//contact,https://hosninsurance.ae/resources/company-brochure.pdf,Download Company Brochure,Internal,404
https://hosninsurance.ae//services,https://twitter.com/company_handle_old,Twitter Updates,External,404
https://hosninsurance.ae/,https://hosninsurance.ae/news/press-release-2023,Latest Press Release,Internal,404
https://hosninsurance.ae//about,https://linkedin.com/company/old-company-profile,LinkedIn Company Page,External,404
https://hosninsurance.ae//products,https://hosninsurance.ae/gallery/product-images-2022,Product Image Gallery,Internal,404
https://hosninsurance.ae//support,https://support-old.example-vendor.com/api,External Support API,External,500
https://hosninsurance.ae//blog,https://hosninsurance.ae/blog/category/archived-posts,Archived Blog Posts,Internal,403
https://hosninsurance.ae//resources,https://old-partner-site.com/integration-docs,Integration Documentation,External,404
https://hosninsurance.ae//team,https://hosninsurance.ae/staff/john-doe-profile,John Doe - Former Manager,Internal,404
https://hosninsurance.ae//partners,https://defunct-partner.com/collaboration,Partnership Details,External,404
https://hosninsurance.ae//media,https://hosninsurance.ae/videos/company-intro-2022.mp4,Company Introduction Video,Internal,404
https://hosninsurance.ae//events,https://eventbrite.com/old-conference-2023,Register for Conference,External,404
https://hosninsurance.ae//careers,https://hosninsurance.ae/jobs/software-engineer-opening,Software Engineer Position,Internal,404
https://hosninsurance.ae//legal,https://hosninsurance.ae/documents/privacy-policy-v1.pdf,Privacy Policy (PDF),Internal,404
https://hosninsurance.ae//help,https://help-center-old.example.com/faq,Frequently Asked Questions,External,500
https://hosninsurance.ae//testimonials,https://hosninsurance.ae/reviews/customer-feedback-2022,Customer Feedback Archive,Internal,404
https://hosninsurance.ae//downloads,https://hosninsurance.ae/files/user-manual-v3.zip,User Manual Download,Internal,404
https://hosninsurance.ae//community,https://forum.old-community.com/discussions,Community Discussions,External,404
https://hosninsurance.ae//pricing,https://hosninsurance.ae/plans/enterprise-details-2023,Enterprise Plan Details,Internal,404
https://hosninsurance.ae//integrations,https://api.old-service.com/v1/webhooks,Webhook Integration,External,502
https://hosninsurance.ae//security,https://hosninsurance.ae/compliance/security-audit-2023.pdf,Security Audit Report,Internal,404
https://hosninsurance.ae//press,https://techcrunch.com/old-article-about-company,TechCrunch Feature Article,External,404
https://hosninsurance.ae//investors,https://hosninsurance.ae/financial/annual-report-2022.pdf,Annual Financial Report,Internal,404
